"ID","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","age","gender","country","source","E_mean","A_mean","C_mean","N_mean","O_mean"
1,3,2,4,3,5,2,4,5,1,3,4,3,4,1,3,2,4,3,3,4,2,4,1,5,2,4,1,3,4,3,2,4,3,2,1,4,3,2,3,4,4,3,3,2,2,2,4,3,5,3,21,2,"PT",2,3.2,2.9,2.8,3.1,3.1
2,4,1,5,4,2,3,4,3,4,3,3,4,3,1,2,2,1,1,4,1,5,4,1,5,2,5,1,4,5,3,4,3,5,2,3,3,4,2,4,3,2,3,5,1,4,1,3,2,4,5,19,1,"US",1,3.3,3.5,3.3,2.2,3
3,3,3,3,3,4,2,2,3,5,5,4,4,3,4,4,4,4,4,4,4,4,3,2,5,2,5,3,4,5,4,2,5,2,5,2,4,4,4,4,5,2,4,3,3,5,2,3,3,4,4,29,1,"IN",1,3.3,3.7,3.7,3.9,3.3
4,2,2,4,4,5,1,3,4,3,3,3,2,4,3,2,4,1,1,2,2,1,5,1,5,2,4,3,4,4,5,4,1,4,1,4,5,5,1,4,4,5,1,2,2,4,2,4,3,5,4,38,2,"US",2,3.1,3.4,3.3,2.4,3.2
5,3,3,4,3,4,2,1,4,4,2,5,4,5,5,2,4,1,2,3,3,3,4,1,4,1,5,1,4,5,5,5,4,5,4,3,1,1,2,4,5,4,1,4,1,3,1,4,2,2,2,37,2,"TR",1,3,3.3,3.4,3.4,2.4
6,5,1,4,3,2,3,3,3,4,2,1,3,3,2,3,2,3,3,3,4,1,3,3,4,3,2,2,3,2,3,5,3,2,3,2,3,4,2,3,3,2,3,2,3,4,4,2,3,3,3,13,1,"US",5,3,2.6,3,2.7,2.9
7,2,2,2,4,5,2,2,5,2,5,2,5,1,5,1,2,3,2,1,2,4,2,5,2,4,2,3,2,1,3,2,4,2,4,3,4,4,2,1,4,4,2,4,2,4,2,4,4,5,5,15,1,"US",2,3.1,2.8,3,2.4,3.6
8,1,5,1,5,1,5,1,5,1,5,5,3,5,2,4,5,3,4,5,4,1,5,3,5,1,5,1,5,5,1,4,3,5,3,1,5,4,1,4,5,4,4,5,5,2,2,4,4,5,2,24,2,"US",3,3,3.2,3.5,4,3.7
9,3,2,5,1,5,1,4,2,4,2,1,3,3,2,2,1,2,2,1,2,2,5,1,4,5,3,1,5,5,4,4,2,5,1,4,1,4,3,3,5,5,1,4,1,5,1,5,4,5,5,21,1,"US",1,2.9,3.5,3.2,1.9,3.6
10,1,4,1,5,1,5,1,5,1,5,4,5,5,3,2,2,4,4,2,2,1,3,1,5,2,3,1,2,4,5,4,5,5,5,2,5,4,3,4,2,4,1,5,1,5,1,4,4,5,5,15,2,"US",5,2.9,2.7,3.9,3.3,3.5
11,1,5,1,5,1,4,1,5,1,5,5,1,5,3,5,5,5,5,5,3,3,3,4,2,4,5,4,3,4,5,4,5,5,4,3,5,4,5,2,4,5,4,4,3,5,1,5,5,5,3,19,2,"(nu",5,2.9,3.7,4.1,4.2,4
